TRANSYN, 2.1.1, "BER"
TRANSYN, 1.0.2709.1.1, "ISO2709"
GENERAL, 1.0.10161.2.1, "ISOILL-1"
ABSYN, 2.1,  "Z-APDU"
APPCTX, 1.1,  "Z-BASIC"
ATTSET, Z3950_PREFIX.3.1, "Bib-1"
ATTSET, Z3950_PREFIX.3.2, "Exp-1"
ATTSET, Z3950_PREFIX.3.3, "Ext-1"
ATTSET, Z3950_PREFIX.3.4, "CCL-1"
ATTSET, Z3950_PREFIX.3.5, "GILS"
ATTSET, Z3950_PREFIX.3.5, "GILS-attset"
ATTSET, Z3950_PREFIX.3.6, "STAS-attset"
ATTSET, Z3950_PREFIX.3.7, "Collections-attset"
ATTSET, Z3950_PREFIX.3.8, "CIMI-attset"
ATTSET, Z3950_PREFIX.3.9, "Geo-attset"
ATTSET, Z3950_PREFIX.3.10, "ZBIG"
ATTSET, Z3950_PREFIX.3.11, "Util"
ATTSET, Z3950_PREFIX.3.12, "XD-1"
ATTSET, Z3950_PREFIX.3.13, "Zthes"
ATTSET, Z3950_PREFIX.3.14, "Fin-1"
ATTSET, Z3950_PREFIX.3.15, "Dan-1"
ATTSET, Z3950_PREFIX.3.16, "Holdings"
ATTSET, Z3950_PREFIX.3.17, "MARC"
ATTSET, Z3950_PREFIX.3.18, "Bib-2"
ATTSET, Z3950_PREFIX.3.19, "ZeeRex"
ATTSET, Z3950_PREFIX.3.1000.81.1, "Thesaurus-attset"
ATTSET, Z3950_PREFIX.3.1000.81.2, "IDXPATH"
ATTSET, Z3950_PREFIX.3.1000.81.3, "EXTLITE"
DIAGSET, Z3950_PREFIX.4.1, "Bib-1"
DIAGSET, Z3950_PREFIX.4.2, "Diag-1"
DIAGSET, Z3950_PREFIX.4.3, "Diag-ES"
DIAGSET, Z3950_PREFIX.4.3, "Diag-General"
RECSYN, Z3950_PREFIX.5.1, "Unimarc"
RECSYN, Z3950_PREFIX.5.2, "Intermarc"
RECSYN, Z3950_PREFIX.5.3, "CCF"
RECSYN, Z3950_PREFIX.5.10, "USmarc"
RECSYN, Z3950_PREFIX.5.10, "MARC21"
RECSYN, Z3950_PREFIX.5.11, "UKmarc"
RECSYN, Z3950_PREFIX.5.12, "Normarc"
RECSYN, Z3950_PREFIX.5.13, "Librismarc"
RECSYN, Z3950_PREFIX.5.14, "Danmarc"
RECSYN, Z3950_PREFIX.5.15, "Finmarc"
RECSYN, Z3950_PREFIX.5.16, "MAB"
RECSYN, Z3950_PREFIX.5.17, "Canmarc"
RECSYN, Z3950_PREFIX.5.18, "SBN"
RECSYN, Z3950_PREFIX.5.19, "Picamarc"
RECSYN, Z3950_PREFIX.5.20, "Ausmarc"
RECSYN, Z3950_PREFIX.5.21, "Ibermarc"
RECSYN, Z3950_PREFIX.5.22, "Carmarc"
RECSYN, Z3950_PREFIX.5.23, "Malmarc"
RECSYN, Z3950_PREFIX.5.24, "JPmarc"
RECSYN, Z3950_PREFIX.5.25, "SWEmarc"
RECSYN, Z3950_PREFIX.5.26, "SIGLEmarc"
RECSYN, Z3950_PREFIX.5.27, "ISDSmarc"
RECSYN, Z3950_PREFIX.5.28, "RUSmarc"
RECSYN, Z3950_PREFIX.5.29, "Hunmarc"
RECSYN, Z3950_PREFIX.5.30, "NACSIS-CATP"
RECSYN, Z3950_PREFIX.5.31, "FINMARC2000"
RECSYN, Z3950_PREFIX.5.32, "MARC21-fin"
RECSYN, Z3950_PREFIX.5.100, "Explain"
RECSYN, Z3950_PREFIX.5.101, "SUTRS"
RECSYN, Z3950_PREFIX.5.102, "OPAC"
RECSYN, Z3950_PREFIX.5.103, "Summary"
RECSYN, Z3950_PREFIX.5.104, "GRS-0"
RECSYN, Z3950_PREFIX.5.105, "GRS-1"
RECSYN, Z3950_PREFIX.5.106, "Extended"
RECSYN, Z3950_PREFIX.5.107, "Fragment"
RECSYN, Z3950_PREFIX.5.109.1, "pdf"
RECSYN, Z3950_PREFIX.5.109.2, "postscript"
RECSYN, Z3950_PREFIX.5.109.3, "html"
RECSYN, Z3950_PREFIX.5.109.4, "tiff"
RECSYN, Z3950_PREFIX.5.109.5, "gif"
RECSYN, Z3950_PREFIX.5.109.6, "jpeg"
RECSYN, Z3950_PREFIX.5.109.7, "png"
RECSYN, Z3950_PREFIX.5.109.8, "mpeg"
RECSYN, Z3950_PREFIX.5.109.9, "sgml"
RECSYN, Z3950_PREFIX.5.110.1, "tiff-b"
RECSYN, Z3950_PREFIX.5.110.2, "wav"
RECSYN, Z3950_PREFIX.5.111, "SQL-RS"
RECSYN, Z3950_PREFIX.5.1000.81.2, "SOIF"
RECSYN, Z3950_PREFIX.5.109.10, "XML"
RECSYN, Z3950_PREFIX.5.109.10, "text-XML"
RECSYN, Z3950_PREFIX.5.109.11, "application-XML"
RESFORM, Z3950_PREFIX.7.1, "Resource-1"
RESFORM, Z3950_PREFIX.7.2, "Resource-2"
RESFORM, Z3950_PREFIX.7.1000.81.1, "UNIverse-Resource-Report"
ACCFORM, Z3950_PREFIX.8.1, "Prompt-1"
ACCFORM, Z3950_PREFIX.8.2, "Des-1"
ACCFORM, Z3950_PREFIX.8.3, "Krb-1"
EXTSERV, Z3950_PREFIX.9.1, "Persistent set"
EXTSERV, Z3950_PREFIX.9.2, "Persistent query"
EXTSERV, Z3950_PREFIX.9.3, "Periodic query"
EXTSERV, Z3950_PREFIX.9.4,  "Item order"
EXTSERV, Z3950_PREFIX.9.5, "Database Update (first version)"
EXTSERV, Z3950_PREFIX.9.5.1, "Database Update (second version)"
EXTSERV, Z3950_PREFIX.9.5.1.1, "Database Update"
EXTSERV, Z3950_PREFIX.9.6, "exp. spec."
EXTSERV, Z3950_PREFIX.9.7, "exp. inv."
EXTSERV, Z3950_PREFIX.9.1000.81.1, "Admin"
USERINFO, Z3950_PREFIX.10.1, "searchResult-1"
USERINFO, Z3950_PREFIX.10.2, "CharSetandLanguageNegotiation"
USERINFO, Z3950_PREFIX.10.3, "UserInfo-1"
USERINFO, Z3950_PREFIX.10.4, "MultipleSearchTerms-1"
USERINFO, Z3950_PREFIX.10.5, "MultipleSearchTerms-2"
USERINFO, Z3950_PREFIX.10.6, "DateTime"
USERINFO, Z3950_PREFIX.10.1000.81.1, "Proxy"
USERINFO, Z3950_PREFIX.10.1000.81.2, "Cookie"
USERINFO, Z3950_PREFIX.10.1000.81.3, "Client-IP"
USERINFO, Z3950_PREFIX.10.1000.81.4, "Scan-Set"
ELEMSPEC, Z3950_PREFIX.11.1, "Espec-1"
VARSET, Z3950_PREFIX.12.1, "Variant-1"
SCHEMA, Z3950_PREFIX.13.1, "WAIS-schema"
SCHEMA, Z3950_PREFIX.13.2, "GILS-schema"
SCHEMA, Z3950_PREFIX.13.3, "Collections-schema"
SCHEMA, Z3950_PREFIX.13.4, "Geo-schema"
SCHEMA, Z3950_PREFIX.13.5, "CIMI-schema"
SCHEMA, Z3950_PREFIX.13.6, "Update ES"
SCHEMA, Z3950_PREFIX.13.7, "Holdings"
SCHEMA, Z3950_PREFIX.13.8, "Zthes"
SCHEMA, Z3950_PREFIX.13.1000.81.1, "thesaurus-schema"
SCHEMA, Z3950_PREFIX.13.1000.81.2, "Explain-schema"
TAGSET, Z3950_PREFIX.14.1, "TagsetM"
TAGSET, Z3950_PREFIX.14.2, "TagsetG"
TAGSET, Z3950_PREFIX.14.3, "STAS-tagset"
TAGSET, Z3950_PREFIX.14.4, "GILS-tagset"
TAGSET, Z3950_PREFIX.14.5, "Collections-tagset"
TAGSET, Z3950_PREFIX.14.6, "CIMI-tagset"
TAGSET, Z3950_PREFIX.14.1000.81.1, "thesaurus-tagset" 
TAGSET, Z3950_PREFIX.14.1000.81.2, "Explain-tagset"
TAGSET, Z3950_PREFIX.14.8, "Zthes-tagset"
NEGOT, Z3950_PREFIX.15.3, "Charset-3"
NEGOT, Z3950_PREFIX.15.4, "Charset-4"
NEGOT, Z3950_PREFIX.15.1000.81.1, "Charset-ID"
USERINFO, Z3950_PREFIX.16.2, "CQL"
GENERAL, 1.0.10646.1.0.2, "UCS-2"
GENERAL, 1.0.10646.1.0.4, "UCS-4"
GENERAL, 1.0.10646.1.0.5, "UTF-16"
GENERAL, 1.0.10646.1.0.8, "UTF-8"
USERINFO, Z3950_PREFIX.10.1000.17.1, "OCLC-userInfo"
EXTSERV, Z3950_PREFIX.9.1000.105.4, "XML-ES"
